Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginLogout,Firefox 63.0,,2018-12-03 10:05:36,2018-12-03 10:06:24,48.610s,FAILED
,,,,,,
Test Cases/Products/StormCenterSwift/Login-Logout/TemplateLoginNC,Firefox 63.0,,2018-12-03 10:05:36,2018-12-03 10:06:02,25.557s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Firefox 63.0,,2018-12-03 10:05:36,2018-12-03 10:05:36,0.001s,PASSED
comment,Firefox 63.0,,2018-12-03 10:05:36,2018-12-03 10:05:36,0.048s,PASSED
openBrowser,Firefox 63.0,,2018-12-03 10:05:36,2018-12-03 10:05:42,6.046s,PASSED
waitForPageLoad,Firefox 63.0,,2018-12-03 10:05:42,2018-12-03 10:05:42,0.064s,PASSED
maximizeWindow,Firefox 63.0,,2018-12-03 10:05:42,2018-12-03 10:05:43,0.115s,PASSED
"Statement - log.logWarning(""--- Begin Login ---"")",Firefox 63.0,,2018-12-03 10:05:43,2018-12-03 10:05:43,0.007s,PASSED
"Statement - log.logWarning(""Logging in to environment - "" + G_DefaultSiteURL)",Firefox 63.0,,2018-12-03 10:05:43,2018-12-03 10:05:43,0.007s,PASSED
waitForElementClickable,Firefox 63.0,,2018-12-03 10:05:43,2018-12-03 10:05:43,0.634s,PASSED
delay,Firefox 63.0,,2018-12-03 10:05:43,2018-12-03 10:05:45,2.011s,PASSED
click,Firefox 63.0,,2018-12-03 10:05:45,2018-12-03 10:05:47,1.260s,PASSED
waitForElementVisible,Firefox 63.0,,2018-12-03 10:05:47,2018-12-03 10:05:47,0.809s,PASSED
setMaskedText,Firefox 63.0,,2018-12-03 10:05:47,2018-12-03 10:05:48,0.261s,PASSED
waitForElementVisible,Firefox 63.0,,2018-12-03 10:05:48,2018-12-03 10:05:48,0.062s,PASSED
click,Firefox 63.0,,2018-12-03 10:05:48,2018-12-03 10:05:48,0.312s,PASSED
waitForElementVisible,Firefox 63.0,,2018-12-03 10:05:48,2018-12-03 10:05:49,1.247s,PASSED
setMaskedText,Firefox 63.0,,2018-12-03 10:05:49,2018-12-03 10:05:49,0.081s,PASSED
waitForElementClickable,Firefox 63.0,,2018-12-03 10:05:49,2018-12-03 10:05:49,0.022s,PASSED
click,Firefox 63.0,,2018-12-03 10:05:49,2018-12-03 10:05:53,4.178s,PASSED
