Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Templates,Firefox 65.0,,2019-03-19 14:38:41,2019-03-19 14:54:07,15m - 25.958s,FAILED
,,,,,,
Test Cases/Products/TemplateApp/Templates/Email/English/EditContactAutoPausedTemplate,Firefox 65.0,,2019-03-19 14:38:41,2019-03-19 14:39:31,50.034s,FAILED
log = new com.kms.katalon.core.logging.KeywordLogger(),Firefox 65.0,,2019-03-19 14:38:41,2019-03-19 14:38:41,0.004s,PASSED
"TextValue = tools.TestDataGenerator.getRandomParagraphs(2, 5)",Firefox 65.0,,2019-03-19 14:38:41,2019-03-19 14:38:41,0.016s,PASSED
log.logInfo(TextValue),Firefox 65.0,,2019-03-19 14:38:41,2019-03-19 14:38:41,0.003s,PASSED
"commitNumber = tools.TestDataGenerator.getRandomWords(2, 2)",Firefox 65.0,,2019-03-19 14:38:41,2019-03-19 14:38:41,0.002s,PASSED
log.logInfo(commitNumber),Firefox 65.0,,2019-03-19 14:38:41,2019-03-19 14:38:41,0.001s,PASSED
"callTestCase(findTestCase(""Products/Cerberus/Login-Logout/TemplateLoginNCQATestUtility""), [:], STOP_ON_FAILURE)",Firefox 65.0,,2019-03-19 14:38:41,2019-03-19 14:39:04,22.380s,PASSED
delay(4),Firefox 65.0,,2019-03-19 14:39:04,2019-03-19 14:39:08,4.003s,PASSED
driver = getWebDriver(),Firefox 65.0,,2019-03-19 14:39:08,2019-03-19 14:39:08,0.005s,PASSED
"click(findTestObject(""Products/TemplateApp/Templates/Common/SelectTemplates""))",Firefox 65.0,,2019-03-19 14:39:08,2019-03-19 14:39:08,0.266s,PASSED
delay(2),Firefox 65.0,,2019-03-19 14:39:08,2019-03-19 14:39:10,2.002s,PASSED
"click(findTestObject(""Products/TemplateApp/SelectEnvironment/DownCaret""))",Firefox 65.0,,2019-03-19 14:39:10,2019-03-19 14:39:10,0.252s,PASSED
"click(findTestObject(""Products/TemplateApp/SelectEnvironment/SelectEnvironmentDevelop""))",Firefox 65.0,,2019-03-19 14:39:10,2019-03-19 14:39:10,0.234s,PASSED
delay(2),Firefox 65.0,,2019-03-19 14:39:10,2019-03-19 14:39:12,2.004s,PASSED
"click(findTestObject(""Products/TemplateApp/Templates/Email/SelectEmail""))",Firefox 65.0,,2019-03-19 14:39:12,2019-03-19 14:39:13,0.236s,PASSED
"click(findTestObject(""Products/TemplateApp/Templates/Email/ContactAutoPausedForm""))",Firefox 65.0,,2019-03-19 14:39:13,2019-03-19 14:39:13,0.238s,PASSED
delay(4),Firefox 65.0,,2019-03-19 14:39:13,2019-03-19 14:39:17,4.002s,PASSED
